sorting_algorithm,num_trials,sequence_type,size,time,avg_time,standard_deviation
merge_sort,10,v_shaped,500,2025-03-22 13:41:59,0.0004998445510864258,0.0006700504417427501
merge_sort,10,v_shaped,1000,2025-03-22 13:41:59,0.0017950773239135743,0.000399005490519547
merge_sort,10,v_shaped,3000,2025-03-22 13:41:59,0.0054599523544311525,0.0005823347224367216
merge_sort,10,v_shaped,5000,2025-03-22 13:41:59,0.011437201499938964,0.0023130797282194513
merge_sort,10,v_shaped,7000,2025-03-22 13:41:59,0.016310906410217284,0.0023507080421131437
merge_sort,10,v_shaped,10000,2025-03-22 13:41:59,0.021863794326782225,0.0013632199484441866
merge_sort,10,v_shaped,20000,2025-03-22 13:42:00,0.045477867126464844,0.0021689339886999844
merge_sort,10,v_shaped,30000,2025-03-22 13:42:01,0.06962568759918213,0.0025975170433097817
merge_sort,10,v_shaped,40000,2025-03-22 13:42:02,0.09465644359588624,0.0017953382743492168
merge_sort,10,v_shaped,50000,2025-03-22 13:42:04,0.12427196502685547,0.0048270694990304765
shell_sort,10,random,100,2025-03-22 13:42:17,0.0002195119857788086,0.0004392478090146639
shell_sort,10,random,500,2025-03-22 13:42:17,0.0006343364715576172,0.0005214372853998854
shell_sort,10,random,1000,2025-03-22 13:42:17,0.0016997337341308593,0.0005047494392508989
shell_sort,10,random,3000,2025-03-22 13:42:17,0.005878591537475586,0.0004705459809560502
shell_sort,10,random,5000,2025-03-22 13:42:17,0.011219930648803712,0.0007384168412348501
shell_sort,10,random,7000,2025-03-22 13:42:18,0.017534255981445312,0.0020873592486676945
shell_sort,10,random,10000,2025-03-22 13:42:18,0.02627716064453125,0.001849556348490236
shell_sort,10,random,20000,2025-03-22 13:42:19,0.06072566509246826,0.003124137038221722
shell_sort,10,random,30000,2025-03-22 13:42:20,0.0958317756652832,0.003789675476772284
shell_sort,10,random,40000,2025-03-22 13:42:21,0.14042069911956787,0.009985058973008111
shell_sort,10,random,50000,2025-03-22 13:42:23,0.18360702991485595,0.012962569900411199
shell_sort,10,increasing,100,2025-03-22 13:42:23,0.00010652542114257813,0.00031957626342773434
shell_sort,10,increasing,500,2025-03-22 13:42:23,0.00043087005615234376,0.0005297315077224641
shell_sort,10,increasing,1000,2025-03-22 13:42:23,0.0010536432266235352,0.00014923757776893424
shell_sort,10,increasing,3000,2025-03-22 13:42:24,0.00432891845703125,0.0006684359324918754
shell_sort,10,increasing,5000,2025-03-22 13:42:24,0.006300687789916992,0.00025963820482828104
shell_sort,10,increasing,7000,2025-03-22 13:42:24,0.009068107604980469,0.0004088079357713236
shell_sort,10,increasing,10000,2025-03-22 13:42:24,0.014466261863708496,0.0006054733155100591
shell_sort,10,increasing,20000,2025-03-22 13:42:24,0.03319380283355713,0.0023761785979810202
shell_sort,10,increasing,30000,2025-03-22 13:42:25,0.04864881038665771,0.0021633279275095536
shell_sort,10,increasing,40000,2025-03-22 13:42:26,0.06971979141235352,0.00284048906989051
shell_sort,10,increasing,50000,2025-03-22 13:42:27,0.09134845733642578,0.004195621473712908
shell_sort,10,decreasing,100,2025-03-22 13:42:27,0.00010061264038085938,0.0003018379211425781
shell_sort,10,decreasing,500,2025-03-22 13:42:27,0.0003107786178588867,0.0004752922452535643
shell_sort,10,decreasing,1000,2025-03-22 13:42:27,0.0007006168365478515,0.0004586735538944581
shell_sort,10,decreasing,3000,2025-03-22 13:42:27,0.002320122718811035,0.0003713823033598665
